鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明華路331~360號,18.91,住,,,1081231,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950519,168.76999999999998,4,2,2,有,有,11560000,68496,坡道平面,0.0,0,,RPPOMLPJKHPFFAE87CA
前金區,房地(土地+建物)+車位,高雄市前金區允文街1~30號,13.43,商,,,1081202,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),見其它登記事項,見其它登記事項,1080115,83.06,2,1,1,有,有,7100000,85480,升降機械,0.0,0,,RPPNMLNJKHPFFAE57CA
鼓山區,房地(土地+建物),高雄市鼓山區裕興路1~30號,31.84,住,,,1081229,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0691006,99.68,3,1,2,有,無,4100000,41132,,0.0,0,,RPSNMLOJKHPFFAE97CA
前金區,房地(土地+建物)+車位,高雄市前金區旺盛街121~150號,37.71,住,,,1081201,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1080612,281.65,4,2,2,有,有,21300000,77299,坡道平面,33.91,2150000,,RPUOMLTKKHPFFAE88CA
鼓山區,車位,高雄市鼓山區龍水里美術南二路211~240號,4.01,住,,,1090103,土地0建物0車位1,,,其他,,,,39.47,0,0,0,有,有,1350000,,坡道平面,39.47,1350000,,RPTNMLOLKHPFFAE28CA
鼓山區,房地(土地+建物),高雄市鼓山區美術北一街61~90號,8.04,商,,,1081231,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0950209,86.37,2,1,1,有,有,5080000,58817,,0.0,0,,RPUNMLOLKHPFFAE38CA
鼓山區,車位,高雄市鼓山區龍水里美術南二路211~240號,4.01,住,,,1090106,土地0建物0車位1,,,其他,,,,39.47,0,0,0,有,有,1400000,,坡道平面,39.47,1400000,,RPVNMLPLKHPFFAE58CA
新興區,房地(土地+建物),高雄市新興區新興路31~60號,27.9,商,,,1081226,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0760911,87.06,3,2,2,有,無,4300000,49391,,0.0,0,含增建或未登記建物。,RPTOMLKMJHPFFBE08CA
苓雅區,房地(土地+建物),高雄市苓雅區四維四路181~210號,32.44,商,,,1081215,土地1建物2車位0,一層，二層，三層，騎樓,十二層,店面(店鋪),,鋼筋混凝土造,0770923,338.5,4,4,4,有,有,16200000,47858,,0.0,0,,RPUOMLKMJHPFFBE18CA
苓雅區,房地(土地+建物),高雄市苓雅區明德街1~30號,15.7,住,,,1090113,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,0720321,53.53,2,1,1,有,有,1800000,33626,,0.0,0,,RPPNMLLMJHPFFBE67CA
苓雅區,房地(土地+建物),高雄市苓雅區義勇路147巷31~60號,29.06,住,,,1081231,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0731214,108.77,3,2,1,有,無,2200000,20226,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWOMLLMJHPFFBE48CA
新興區,房地(土地+建物),高雄市新興區七賢二路1~30號,2.48,商,,,1081215,土地1建物1車位0,十二層,十二層,套房(1房1廳1衛),,鋼筋混凝土造,0710925,32.25,1,1,1,有,有,1250000,38760,,0.0,0,,RPXOMLLMJHPFFBE58CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區建國一路199巷3弄1~30號,24.49,商,,,1081229,土地1建物2車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851221,167.37,4,2,2,有,無,7850000,46902,坡道平面,23.14,0,,RPTNMLMKKHPFFBE08CA
苓雅區,房地(土地+建物),高雄市苓雅區昇平街61~90號,92.0,商,,,1090114,土地2建物1車位0,全,三層,透天厝,,見使用執照,0530223,202.84,4,2,3,有,無,6000000,29580,,0.0,0,有民情風俗因素之交易。;供宮廟使用,RPUNMLNJKHPFFBE18CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區建國一路199巷3弄1~30號,24.49,商,,,1081224,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851221,167.37,3,2,3,有,有,7960000,47559,坡道平面,23.14,0,,RPUPMLNKKHPFFBE48CA
苓雅區,房地(土地+建物),高雄市苓雅區英義街331~360號,82.0,住,,,1090110,土地1建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0650106,139.08,3,2,4,有,無,9000000,64711,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOOMLOJKHPFFBE77CA
苓雅區,土地,正明段1~30地號,42.52,商,,,1081114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6378750,150018,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLQLKHPFFBE18CA
前鎮區,房地(土地+建物),高雄市前鎮區瑞華街31~60號,17.79,住,,,1081224,土地2建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870413,105.22999999999999,3,2,2,有,有,3500000,33260,,0.0,0,,RPTOMLKMJHPFFCE18CA
小港區,房地(土地+建物),高雄市小港區高坪七十街151~180號,99.1,住,,,1081216,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0951106,156.07,5,2,3,有,無,7420000,47543,,0.0,0,含增建或未登記建物。;,RPUOMLKMJHPFFCE28CA
前鎮區,房地(土地+建物),高雄市前鎮區班超路1~30號,9.41,住,,,1081207,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1070306,97.61,2,2,1,有,有,5230000,53581,,0.0,0,,RPUNMLOJKHPFFCE38CA
小港區,房地(土地+建物),高雄市小港區中安路871~900號,20.03,住,,,1081207,土地1建物1車位0,一層，夾層,十五層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,1031201,130.12,0,0,0,無,有,12500000,96065,,0.0,0,1.面中安路2.店鋪3.含裝潢,RPOOMLOJKHPFFCE87CA
小港區,房地(土地+建物),高雄市小港區立群路31~60號,21.78,住,,,1081230,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790125,125.62,3,2,2,有,有,4100000,32638,,0.0,0,附傢俱家電,RPWNMLRJKHPFFCE88CA
小港區,房地(土地+建物),高雄市小港區福利路61~90號,66.0,住,,,1081229,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0820710,139.04,5,3,2,有,無,8000000,57537,,0.0,0,,RPXNMLRJKHPFFCE98CA
小港區,房地(土地+建物),高雄市小港區華山路211~240號,13.86,商,,,1081215,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950510,115.21000000000001,3,2,2,有,有,4500000,39059,,0.0,0,,RPPOMLPJKHPFFCE08CA
三民區,房地(土地+建物),高雄市三民區三德西街44巷17弄1~30號,26.7,商,,,1081222,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),,鋼筋混凝土造,0800115,130.95,3,2,2,有,有,5600000,42764,,0.0,0,,RPQNMLLJKHPFFDE77CA
三民區,房地(土地+建物),高雄市三民區寶泰里壽昌路180巷1~30號,29.62,住,,,1081217,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0710823,100.42,3,2,1,有,有,2300000,22904,,0.0,0,,RPPNMLRJKHPFFDE28CA
三民區,房地(土地+建物),高雄市三民區延吉街63巷1~30號,22.64,住,,,1081216,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690709,62.5,3,2,2,有,無,2930000,46880,,0.0,0,含增建或未登記建物。;,RPVNMLNJKHPFFDE48CA
三民區,房地(土地+建物),高雄市三民區民信路1~30號,31.07,住,,,1081228,土地1建物1車位0,一層，二層，騎樓,五層,店面(店鋪),,鋼筋混凝土造,0680522,87.27,3,2,2,有,無,6000000,68752,,0.0,0,含增建或未登記建物。;,RPXOMLKMJHPFFDE68CA
三民區,房地(土地+建物)+車位,高雄市三民區覺民路1~30號,16.5,住,,,1081228,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1080618,174.74,3,2,2,有,有,10180000,58258,坡道平面,43.46,0,,RPTNMLMKKHPFFDE28CA
