鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路二段346巷1~30號,24.95,住,,,1081206,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031022,162.64,3,2,2,有,有,12500000,76857,坡道平面,25.43,0,,RPOOMLNLJHPFFBB47CA
北屯區,房地(土地+建物),臺中市北屯區河北路二段181~210號,105.0,住,,,1081126,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0750513,190.68,4,2,3,有,無,15880000,83281,,0.0,0,含增建或未登記建物。;登記名義人有二人,RPSOMLKMJHPFFBB67CA
北區,房地(土地+建物),臺中市北區文心路四段181~210號,6.82,住,,,1081221,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951225,65.60000000000001,1,1,1,有,有,4400000,67073,,0.0,0,含增建或未登記建物。;,RPRNMLLMJHPFFBB57CA
北區,房地(土地+建物),臺中市北區太原路一段481~510號,19.83,住,,,1081222,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720721,75.85,3,2,1,有,無,4000000,52736,,0.0,0,含增建或未登記建物。;,RPPPMLLMJHPFFBB57CA
北屯區,土地,北屯段541~570地號,36.5,其他,,,1081211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1992900,54600,,0.0,0,,RPVPMLOJKHPFFBB28CA
北屯區,土地,文北段31~60地號,382.36,住,,,1081122,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,49730000,130061,,0.0,0,,RPQQMLOJKHPFFBB87CA
北區,房地(土地+建物),臺中市北區中清路一段811~840號,8.83,商,,,1081229,土地2建物1車位0,八層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0700814,35.07,0,0,0,無,有,990000,28229,,0.0,0,,RPPTMLOJKHPFFBB08CA
北屯區,房地(土地+建物)+車位,臺中市北屯區瀋陽路三段91~120號,35.1,住,,,1090101,土地1建物1車位1,一層，二層，騎樓，地下一層,八層,店面(店鋪),住商用,鋼筋混凝土造,0820531,296.11,0,0,0,無,有,12800000,43227,坡道機械,0.0,0,,RPWNMLQJKHPFFBB38CA
北屯區,房地(土地+建物),臺中市北屯區軍福七路61~90號,124.26,住,,,1081206,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1071022,345.02,5,2,6,有,無,32100000,93038,,0.0,0,,RPXNMLRJKHPFFBB58CA
北區,房地(土地+建物)+車位,臺中市北區進化北路361~390號,14.93,商,,,1081213,土地1建物1車位1,十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841215,232.42000000000002,3,2,2,有,有,9000000,38723,坡道平面,0.0,0,,RPPNMLLKKHPFFBB27CA
北區,房地(土地+建物),臺中市北區太原八街91~120號,6.04,住,,,1081220,土地1建物1車位0,二層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830705,38.34,1,1,1,有,有,1760000,45905,,0.0,0,,RPSRMLMKKHPFFBB08CA
