鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
信義區,房地(土地+建物),臺北市信義區中坡南路12巷1~30號,42.27,住,,,1081117,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760710,162.73000000000002,5,1,2,有,無,23500000,144411,,0.0,0,含增建或未登記建物。;,RPROMLKMJHPFFDA67CA
松山區,房地(土地+建物),臺北市松山區八德路二段361~390號,7.52,商,,,1081214,土地6建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0691108,79.23,3,2,1,有,有,18450000,232866,,0.0,0,含增建或未登記建物。;,RPPPMLKMJHPFFDA57CA
松山區,房地(土地+建物),臺北市松山區民生東路五段241~270號,35.5,住,,,1081216,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,96.42,3,2,1,有,無,20000000,207426,,0.0,0,含增建或未登記建物。;,RPXPMLKMJHPFFDA38CA
松山區,房地(土地+建物),臺北市松山區健康路325巷24弄1~30號,28.45,住,,,1081215,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0810114,125.4,3,2,2,有,有,24750000,197368,,0.0,0,,RPOQMLKMJHPFFDA57CA
信義區,房地(土地+建物),臺北市信義區吳興街583巷5弄1~30號,30.0,住,,,1081223,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0800302,75.24,2,2,1,有,無,12500000,166135,,0.0,0,,RPRNMLNJKHPFFDA67CA
信義區,房地(土地+建物),臺北市信義區吳興街583巷5弄1~30號,30.0,住,,,1081223,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0800302,75.24,2,2,1,有,無,12500000,166135,,0.0,0,,SPRNMLNJKHPFFDA77CA
信義區,房地(土地+建物)+車位,臺北市信義區中坡南路22巷1~30號,17.4,住,,,1081202,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1021107,114.49000000000001,2,1,1,有,有,25500000,222727,塔式車位,19.4,0,,RPQQMLNJKHPFFDA87CA
信義區,房地(土地+建物),臺北市信義區松山路241~270號,8.72,商,,,1081230,土地2建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0730608,57.1,1,1,1,有,有,9580000,167776,,0.0,0,,RPSQMLNJKHPFFDA08CA
中山區,房地(土地+建物),臺北市中山區北安路621巷1~30號,34.81,住,,,1081202,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690430,110.62,3,2,1,有,無,17500000,158199,,0.0,0,,RPSNMLRKKHPFFCA18CA
內湖區,土地,東湖段六小段481~510地號,79.4,其他,,,1081223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,8816,,0.0,0,親友、員工或其他特殊關係間之交易。;包含公共設施保留地之交易。;,RPQOMLPJKHPFFCA77CA
