鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳吉一街181~210號,17.21,住,,,1060430,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081022,105.01,2,1,1,有,有,6620000,71352,坡道平面,30.45,1300000,,RPVOMLPKKHPFFIF86CA
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳吉一街181~210號,26.98,住,,,1080922,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081022,154.45999999999998,3,2,2,有,有,9750000,67333,坡道平面,30.45,1400000,,RPWOMLPKKHPFFIF96CA
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳吉一街181~210號,25.07,住,,,1060324,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081022,137.26,3,2,2,有,有,8760000,68310,坡道平面,27.32,1250000,,RPXOMLPKKHPFFIF07CA
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳福路151~180號,16.77,住,,,1060626,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081022,104.24000000000001,2,1,1,有,有,6440000,69657,坡道平面,30.45,1300000,,RPOPMLPKKHPFFIF88CA
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳福路151~180號,25.13,住,,,1071006,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081022,141.32,3,2,2,有,有,8850000,68098,坡道平面,30.45,1300000,,RPPPMLPKKHPFFIF98CA
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳福路151~180號,25.13,住,,,1060527,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081022,138.18,3,2,2,有,有,9080000,69728,坡道平面,27.32,1350000,,RPQPMLPKKHPFFIF09CA
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳吉一街181~210號,32.34,住,,,1080811,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081022,171.61,4,2,2,有,有,10900000,67300,坡道平面,30.45,1400000,,RPRPMLPKKHPFFIF56CA
鶯歌區,房地(土地+建物),新北市鶯歌區鳳吉一街181~210號,18.52,住,,,1061007,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081022,81.35000000000001,3,1,1,有,有,5900000,72526,,0.0,0,,RPSPMLPKKHPFFIF66CA
鶯歌區,房地(土地+建物),新北市鶯歌區鳳吉一街181~210號,18.52,住,,,1060504,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081022,81.35000000000001,3,1,1,有,有,5910000,72649,,0.0,0,,RPTPMLPKKHPFFIF76CA
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳吉一街181~210號,25.18,住,,,1060722,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081022,140.4,3,2,2,有,有,9220000,70214,坡道平面,30.45,1500000,,RPUPMLPKKHPFFIF86CA
