鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路203巷1~30號,24.85,住,,,1080603,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081101,177.51999999999998,3,2,2,有,有,13400000,91356,坡道平面,47.26,1500000,,RPUQMLRJKHPFFAH09CA
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路203巷1~30號,24.85,住,,,1080505,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081101,177.51999999999998,3,2,2,有,有,13320000,90742,坡道平面,47.26,1500000,,RPVQMLRJKHPFFAH56CA
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路203巷1~30號,24.85,住,,,1080316,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081101,177.51999999999998,3,2,2,有,有,13320000,90742,坡道平面,47.26,1500000,,RPWQMLRJKHPFFAH66CA
桃園區,房地(土地+建物)+車位,桃園市桃園區慈文路301~330號,26.21,住,,,1081219,土地2建物1車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841012,164.43,3,2,2,有,無,6330000,38497,坡道平面,0.0,0,,RPSOMLLKKHPFFAH18CA
桃園區,房地(土地+建物),桃園市桃園區大興西路一段301~330號,13.14,住,,,1081228,土地1建物1車位0,三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860701,112.28,3,2,2,有,有,7550000,67243,,0.0,0,,RPROMLMKKHPFFAH18CA
桃園區,土地,桃圳段601~630地號,8.33,,特定農業區,水利用地,1090106,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,87151,10462,,0.0,0,,RPXOMLTKKHPFFAH86CA
觀音區,房地(土地+建物),桃園市觀音區建國路61~90號,17.42,,工業區,丁種建築用地,1081230,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1081025,69.83,2,2,2,有,有,3430000,49119,,0.0,0,,RPQNMLMLJHPFFBH08CA
中壢區,土地,忠福段2551~2580地號,9.23,其他,,,1090109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,878850,95217,,0.0,0,本買賣含地上未保存登記建物,RPOQMLMLJHPFFBH18CA
觀音區,房地(土地+建物),桃園市觀音區中山路一段1171巷16弄1~30號,76.69,,特定農業區,甲種建築用地,1081202,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0950224,185.16,4,2,4,有,無,5500000,29704,,0.0,0,,RPROMLKMJHPFFBH18CA
中壢區,房地(土地+建物)+車位,桃園市中壢區環西路二段226巷1~30號,23.7,住,,,1081224,土地2建物1車位1,二層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1031020,139.11,3,1,1,有,有,9500000,68291,坡道平面,28.23,0,,RPVPMLKMJHPFFBH68CA
